TIMESTAMP_START,TART,TA_F,VPD_F,PA_F,WS_F,NETRAD,TS_F_MDS_1
2.00301E+11,1700,7.652,3.256,98.6,3.004,7.849,9.62
2.00301E+11,1730,7.082,2.864,98.7,2.874,-86.5,9.65
2.00301E+11,1800,6.657,2.742,98.7,3.549,-105.9,9.67
2.00301E+11,0800,3.479,1.459,98.8,2.351,21.76,8.58
2.00301E+11,0830,3.616,1.449,98.8,2.202,44.29,8.57
2.00301E+11,0900,3.776,1.481,98.9,2.086,110,8.57
2.00301E+11,0930,4.129,1.617,98.9,1.53,173.7,8.58
2.00301E+11,1000,4.241,1.647,98.9,0.915,147.1,8.6
2.00301E+11,1030,4.728,1.723,98.9,1.394,193.4,8.62
2.00301E+11,1100,5.012,1.84,98.9,1.306,281.7,8.65
2.00301E+11,1130,5.566,2.06,98.8,1.178,240.8,8.68
2.00301E+11,1200,5.821,2.078,98.7,1.47,252.6,8.73
2.00301E+11,1230,6.789,2.562,98.7,1.572,447.3,8.78
2.00301E+11,1300,7.203,2.718,98.6,1.414,388.3,8.84
2.00301E+11,1330,7.601,2.86,98.5,1.495,394.6,8.92
2.00301E+11,1400,7.379,2.694,98.5,1.526,241,9.02
2.00301E+11,1430,7.383,2.604,98.5,1.373,309.9,9.12
2.00301E+11,1500,7.578,2.652,98.5,1.467,254.9,9.2
2.00301E+11,1530,7.675,2.604,98.4,1.276,186.4,9.28
2.00301E+11,1600,7.575,2.56,98.4,1.384,122.2,9.35
2.00301E+11,1630,7.471,2.447,98.4,1.399,74.71,9.41
2.00301E+11,1700,7.321,2.348,98.4,1.292,19.98,9.46
2.00301E+11,1730,7.145,2.221,98.4,1.387,-22.5,9.49
2.00301E+11,1800,6.99,2.044,98.5,1.587,-75.37,9.52
2.00301E+11,0800,6.791,1.907,98.6,0.549,33.82,9.43
2.00301E+11,0830,7.06,1.922,98.6,0.747,76.97,9.43
2.00301E+11,0900,7.594,2.046,98.6,0.66,115.9,9.44
2.00301E+11,0930,8.21,2.356,98.6,0.597,109.6,9.46
2.00301E+11,1000,8.44,2.451,98.6,0.734,114.1,9.5
2.00301E+11,1030,8.73,2.562,98.6,0.731,146.4,9.54
2.00301E+11,1100,9.16,2.674,98.6,0.79,197.2,9.58
2.00301E+11,1130,9.59,2.895,98.5,1.143,263,9.63
2.00301E+11,1200,10.32,3.341,98.5,1.224,350.2,9.69
2.00301E+11,1230,11.28,3.993,98.4,1.223,431.1,9.76
2.00301E+11,1300,11.55,4.256,98.3,1.52,429.1,9.86
2.00301E+11,1330,11.96,4.584,98.3,1.47,445.4,9.97
2.00301E+11,1400,12.15,4.669,98.2,2.001,476.4,10.08
2.00301E+11,1430,12.78,5.085,98.2,1.664,416.2,10.2
2.00301E+11,1500,13.03,5.248,98.2,1.547,321.2,10.33
2.00301E+11,1530,13.11,5.257,98.2,1.1,230.1,10.46
2.00301E+11,1600,13.3,5.335,98.2,1.387,193.1,10.57
2.00301E+11,1630,12.69,4.616,98.3,1.159,48.33,10.65
2.00301E+11,1700,12.49,4.167,98.3,0.334,27.02,10.72
2.00301E+11,1730,12.43,3.996,98.3,0.453,-75.07,10.78
2.00301E+11,1800,12.2,4.12,98.3,1.201,-96.1,10.83
2.00301E+11,0800,8.41,4.908,98.6,2.772,-5.195,10.18
2.00301E+11,0830,8.87,5.152,98.6,2.965,86.4,10.14
2.00301E+11,0900,9.08,5.501,98.6,2.802,184.4,10.11
2.00301E+11,0930,9.19,5.741,98.6,3.775,278.2,10.11
2.00301E+11,1000,9.81,6.27,98.6,3.22,363.5,10.11
2.00301E+11,1030,9.88,6.663,98.6,4.481,434.7,10.13
2.00301E+11,1100,10.46,6.89,98.6,3.412,490.7,10.14
2.00301E+11,1130,11.41,7.154,98.5,2.499,529.3,10.2
2.00301E+11,1200,11.57,6.895,98.4,2.155,554.8,10.25
2.00301E+11,1230,11.93,7.085,98.4,1.774,557.7,10.31
2.00301E+11,1300,12.62,7.58,98.3,1.772,551.3,10.39
2.00301E+11,1330,12.59,7.54,98.3,1.964,527.8,10.49
2.00301E+11,1400,13.13,7.906,98.2,1.741,484.8,10.62
2.00301E+11,1430,12.99,7.865,98.2,1.734,428.9,10.75
2.00301E+11,1500,13.04,7.859,98.2,2.094,359.4,10.89
2.00301E+11,1530,13.34,8.041,98.2,1.644,273,11.01
2.00301E+11,1600,13.48,8.141,98.2,1.463,177.9,11.11
2.00301E+11,1630,13.49,8.104,98.2,0.84,79.06,11.17
2.00301E+11,1700,13.16,7.733,98.3,0.733,-13.01,11.21
2.00301E+11,1730,11.96,6.153,98.3,0.729,-83.9,11.24
2.00301E+11,1800,11.18,5.54,98.3,0.799,-106.2,11.25
2.00301E+11,0800,7.051,3.765,98.7,1.137,-13.14,10
2.00301E+11,0830,7.85,4.166,98.8,1.139,75.12,9.96
2.00301E+11,0900,9.04,5.015,98.8,1.378,178.9,9.94
2.00301E+11,0930,9.97,5.878,98.8,1.315,246.9,9.93
2.00301E+11,1000,10.46,6.627,98.8,1.617,335.5,9.95
2.00301E+11,1030,11.15,7.182,98.8,1.658,412.4,10
2.00301E+11,1100,11.56,7.238,98.8,1.895,478.8,10.05
2.00301E+11,1130,11.92,7.581,98.7,1.738,507.8,10.14
2.00301E+11,1200,12.87,8.325,98.6,1.396,533,10.22
2.00301E+11,1230,13.05,8.646,98.6,1.241,533.7,10.31
2.00301E+11,1300,13.06,8.955,98.5,1.366,519.4,10.41
2.00301E+11,1330,14.16,9.964,98.5,1.402,500.2,10.53
2.00301E+11,1400,14.24,10.021,98.4,1.41,478.2,10.66
2.00301E+11,1430,13.83,9.918,98.4,1.898,422.5,10.8
2.00301E+11,1500,14.02,10.119,98.4,1.694,352.7,10.94
2.00301E+11,1530,14.27,10.405,98.4,1.678,262,11.08
2.00301E+11,1600,14.32,10.566,98.4,1.203,137.7,11.18
2.00301E+11,1630,14.3,10.398,98.4,0.631,60.48,11.25
2.00301E+11,1700,13.96,10.483,98.4,0.819,-22.73,11.29
2.00301E+11,1730,13.41,10.15,98.4,1.253,-92.9,11.32
2.00301E+11,1800,12.83,9.472,98.5,0.882,-118.6,11.32
2.00301E+11,0800,10,7.484,98.7,2.512,-22.46,10.35
2.00301E+11,0830,10.69,7.624,98.7,1.36,73.1,10.32
2.00301E+11,0900,11.24,7.461,98.7,1.351,169.3,10.32
2.00301E+11,0930,11.5,7.605,98.8,1.435,265.7,10.34
2.00301E+11,1000,12.03,8.169,98.7,1.331,343.8,10.37
2.00301E+11,1030,12.23,8.442,98.7,1.466,414.7,10.42
2.00301E+11,1100,12.28,8.657,98.7,1.771,474.6,10.48
2.00301E+11,1130,12.77,8.951,98.6,1.565,514.8,10.57
2.00301E+11,1200,13.25,9.188,98.6,1.379,541.1,10.64
2.00301E+11,1230,13.56,9.736,98.5,1.594,556.1,10.73
2.00301E+11,1300,13.84,10.923,98.5,1.629,546.3,10.81
